位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8016
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8021
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8021
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8021
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8016
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8023
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8016
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8026
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8021
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8026
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8026
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8026
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8029
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8021
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8021
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8026
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8021
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8026
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8021
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8021
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8021
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8026
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8016
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8016
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8021
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8014
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8021
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8016
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8014
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8021
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8018
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8018
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8018
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8011
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8014
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8018
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8016
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8009
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8016
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8016
位置X：-30.2,  位置Y：0.01221865,  位置Z：-19.66,  身体角度：-3.276394E-06,  头部角度：270.8011
