位置X：-38.23061,  位置Y：0.08333337,  位置Z：-23.60317,  身体角度：99.84705,  头部角度：270.6187
位置X：-38.25047,  位置Y：0.08333337,  位置Z：-23.59417,  身体角度：98.1477,  头部角度：270.6287
位置X：-38.22066,  位置Y：0.08333337,  位置Z：-23.59844,  身体角度：98.1477,  头部角度：270.6395
位置X：-38.26376,  位置Y：0.08333337,  位置Z：-23.59138,  身体角度：98.64494,  头部角度：270.6483
位置X：-38.2399,  位置Y：0.08333337,  位置Z：-23.59501,  身体角度：98.64494,  头部角度：270.6555
位置X：-38.26477,  位置Y：0.08333337,  位置Z：-23.58368,  身体角度：97.93518,  头部角度：270.6644
位置X：-38.28181,  位置Y：0.08333337,  位置Z：-23.58073,  身体角度：95.93189,  头部角度：270.6711
位置X：-38.25914,  位置Y：0.08333337,  位置Z：-23.59401,  身体角度：96.57686,  头部角度：270.6798
位置X：-38.22787,  位置Y：0.08333337,  位置Z：-23.59761,  身体角度：96.57686,  头部角度：270.689
位置X：-38.22808,  位置Y：0.08333337,  位置Z：-23.60461,  身体角度：92.86979,  头部角度：270.6972
位置X：-38.2203,  位置Y：0.08333337,  位置Z：-23.60948,  身体角度：95.50784,  头部角度：270.7033
位置X：-38.19501,  位置Y：0.08333337,  位置Z：-23.61192,  身体角度：95.50784,  头部角度：270.71
位置X：-38.24157,  位置Y：0.08333337,  位置Z：-23.62624,  身体角度：94.24063,  头部角度：270.7155
位置X：-38.25003,  位置Y：0.08333337,  位置Z：-23.59885,  身体角度：94.03142,  头部角度：270.7212
位置X：-38.22474,  位置Y：0.08333337,  位置Z：-23.60063,  身体角度：94.03142,  头部角度：270.7269
位置X：-38.24221,  位置Y：0.08333337,  位置Z：-23.60493,  身体角度：93.23435,  头部角度：270.7311
位置X：-38.21783,  位置Y：0.08333337,  位置Z：-23.60631,  身体角度：93.23435,  头部角度：270.737
位置X：-38.22698,  位置Y：0.08333337,  位置Z：-23.57475,  身体角度：93.2277,  头部角度：270.7412
位置X：-38.20859,  位置Y：0.08333337,  位置Z：-23.59728,  身体角度：95.49239,  头部角度：270.7465
位置X：-38.18177,  位置Y：0.08333337,  位置Z：-23.59986,  身体角度：95.49239,  头部角度：270.7496
位置X：-38.25781,  位置Y：0.08333337,  位置Z：-23.59706,  身体角度：93.61057,  头部角度：270.7549
位置X：-38.25857,  位置Y：0.08333337,  位置Z：-23.60028,  身体角度：98.00404,  头部角度：270.7585
位置X：-38.23317,  位置Y：0.08333337,  位置Z：-23.60385,  身体角度：98.00404,  头部角度：270.7623
位置X：-38.26311,  位置Y：0.08333337,  位置Z：-23.59675,  身体角度：98.4296,  头部角度：270.7667
位置X：-38.2398,  位置Y：0.08333337,  位置Z：-23.6002,  身体角度：98.4296,  头部角度：270.7687
位置X：-38.24397,  位置Y：0.08333337,  位置Z：-23.60605,  身体角度：100.9927,  头部角度：270.772
位置X：-38.27076,  位置Y：0.08333337,  位置Z：-23.59655,  身体角度：100.6709,  头部角度：270.7753
位置X：-38.24561,  位置Y：0.08333337,  位置Z：-23.60129,  身体角度：100.6709,  头部角度：270.7778
位置X：-38.27623,  位置Y：0.08333337,  位置Z：-23.56502,  身体角度：96.37147,  头部角度：270.7813
位置X：-38.26639,  位置Y：0.08333337,  位置Z：-23.57918,  身体角度：99.77795,  头部角度：270.7838
位置X：-38.2397,  位置Y：0.08333337,  位置Z：-23.58377,  身体角度：99.77795,  头部角度：270.7863
位置X：-38.2858,  位置Y：0.08333337,  位置Z：-23.59853,  身体角度：98.79958,  头部角度：270.7891
位置X：-38.30585,  位置Y：0.08333337,  位置Z：-23.56574,  身体角度：98.26144,  头部角度：270.7903
位置X：-38.28154,  位置Y：0.08333337,  位置Z：-23.56927,  身体角度：98.26144,  头部角度：270.7921
位置X：-38.27066,  位置Y：0.08333337,  位置Z：-23.58158,  身体角度：100.8754,  头部角度：270.7933
位置X：-38.24622,  位置Y：0.08333337,  位置Z：-23.58628,  身体角度：100.8754,  头部角度：270.795
位置X：-38.28547,  位置Y：0.08333337,  位置Z：-23.60468,  身体角度：99.82963,  头部角度：270.796
位置X：-38.30581,  位置Y：0.08333337,  位置Z：-23.56706,  身体角度：97.02179,  头部角度：270.7967
位置X：-38.28144,  位置Y：0.08333337,  位置Z：-23.57007,  身体角度：97.02179,  头部角度：270.7982
位置X：-38.28008,  位置Y：0.08333337,  位置Z：-23.59018,  身体角度：99.76802,  头部角度：270.7987
位置X：-38.25763,  位置Y：0.08333337,  位置Z：-23.59405,  身体角度：99.76802,  头部角度：270.7997
位置X：-38.27229,  位置Y：0.08333337,  位置Z：-23.54489,  身体角度：96.07833,  头部角度：270.8009
位置X：-38.24017,  位置Y：0.08333337,  位置Z：-23.58038,  身体角度：97.76752,  头部角度：270.8014
位置X：-38.21592,  位置Y：0.08333337,  位置Z：-23.58368,  身体角度：97.76752,  头部角度：270.8016
位置X：-38.26637,  位置Y：0.08333337,  位置Z：-23.57697,  身体角度：98.52009,  头部角度：270.8016
位置X：-38.2967,  位置Y：0.08333337,  位置Z：-23.58702,  身体角度：99.16142,  头部角度：270.8014
位置X：-38.26864,  位置Y：0.08333337,  位置Z：-23.59155,  身体角度：99.16142,  头部角度：270.8018
位置X：-38.25569,  位置Y：0.08333337,  位置Z：-23.59558,  身体角度：101.0388,  头部角度：270.8018
位置X：-38.23259,  位置Y：0.08333337,  位置Z：-23.60009,  身体角度：101.0388,  头部角度：270.8023
位置X：-38.25346,  位置Y：0.08333337,  位置Z：-23.60104,  身体角度：101.4786,  头部角度：270.8026
位置X：-38.27773,  位置Y：0.08333337,  位置Z：-23.5954,  身体角度：100.7974,  头部角度：270.8029
位置X：-38.25311,  位置Y：0.08333337,  位置Z：-23.6001,  身体角度：100.7974,  头部角度：270.8016
位置X：-38.2829,  位置Y：0.08333337,  位置Z：-23.57496,  身体角度：97.15558,  头部角度：270.8016
位置X：-38.28369,  位置Y：0.08333337,  位置Z：-23.56956,  身体角度：95.47548,  头部角度：270.8018
位置X：-38.25928,  位置Y：0.08333337,  位置Z：-23.57191,  身体角度：95.47548,  头部角度：270.8023
