位置X：-30.82057,  位置Y：0.08333337,  位置Z：-14.58808,  身体角度：0.04343759,  头部角度：270.5486
位置X：-30.82056,  位置Y：0.08333337,  位置Z：-14.57194,  身体角度：0.04343759,  头部角度：270.5486
位置X：-30.82054,  位置Y：0.08333337,  位置Z：-14.55053,  身体角度：0.04343219,  头部角度：270.5486
位置X：-30.82053,  位置Y：0.08333337,  位置Z：-14.533,  身体角度：0.04343219,  头部角度：270.5486
位置X：-30.82051,  位置Y：0.08333337,  位置Z：-14.51191,  身体角度：0.04342679,  头部角度：270.5486
位置X：-30.8205,  位置Y：0.08333337,  位置Z：-14.4956,  身体角度：0.04342679,  头部角度：270.5486
位置X：-30.82048,  位置Y：0.08333337,  位置Z：-14.47229,  身体角度：0.0434214,  头部角度：270.5486
位置X：-30.82046,  位置Y：0.08333337,  位置Z：-14.43912,  身体角度：0.04341601,  头部角度：270.5486
位置X：-30.82044,  位置Y：0.08333337,  位置Z：-14.41995,  身体角度：0.04341601,  头部角度：270.5486
位置X：-30.82043,  位置Y：0.08333337,  位置Z：-14.39628,  身体角度：0.04341063,  头部角度：270.5486
位置X：-30.82041,  位置Y：0.08333337,  位置Z：-14.38173,  身体角度：0.04341063,  头部角度：270.5486
位置X：-30.82039,  位置Y：0.08333337,  位置Z：-14.35572,  身体角度：0.04340525,  头部角度：270.5486
位置X：-30.82038,  位置Y：0.08333337,  位置Z：-14.33649,  身体角度：0.04340525,  头部角度：270.5486
位置X：-30.82036,  位置Y：0.08333337,  位置Z：-14.30928,  身体角度：0.04339988,  头部角度：270.5486
位置X：-30.82034,  位置Y：0.08333337,  位置Z：-14.29286,  身体角度：0.04339988,  头部角度：270.5486
位置X：-30.82033,  位置Y：0.08333337,  位置Z：-14.27316,  身体角度：0.04339451,  头部角度：270.5486
位置X：-30.82032,  位置Y：0.08333337,  位置Z：-14.25607,  身体角度：0.04339451,  头部角度：270.5486
位置X：-30.8203,  位置Y：0.08333337,  位置Z：-14.2362,  身体角度：0.04338915,  头部角度：270.5486
位置X：-30.82029,  位置Y：0.08333337,  位置Z：-14.2199,  身体角度：0.04338915,  头部角度：270.5486
位置X：-30.82027,  位置Y：0.08333337,  位置Z：-14.20008,  身体角度：0.0433838,  头部角度：270.5486
位置X：-30.82026,  位置Y：0.08333337,  位置Z：-14.18166,  身体角度：0.0433838,  头部角度：270.5486
位置X：-30.82023,  位置Y：0.08333337,  位置Z：-14.14365,  身体角度：0.04337845,  头部角度：270.5486
